Price,Close,High,Low,Open,Volume
Ticker,MMM,MMM,MMM,MMM,MMM
Date,,,,,
2021-05-26,144.35470581054688,144.5050881603378,143.43807526983372,144.0825878573578,2209371
2021-05-27,145.54347229003906,146.07339795747777,145.09948687239878,145.37160485921495,2939290
2021-05-28,145.40023803710938,146.3670004132378,145.22837062232782,146.00178052323056,2082475
2021-06-01,145.51483154296875,146.86828586139092,145.04934801670905,146.789507302901,1874491
2021-06-02,145.5792694091797,146.0662249138601,144.91328480011083,145.8943574963981,2245370
2021-06-03,145.85137939453125,146.56749570873598,144.5193972998517,145.0135144201482,2274912
2021-06-04,147.5557098388672,147.6058416332846,145.92296329675608,146.1664475151582,2234846
2021-06-07,145.8943328857422,148.09997526174865,145.59356822311204,147.77056385624525,1831196
2021-06-08,145.79408264160156,146.11633236202132,144.03960032485435,144.6554530227642,2034874
2021-06-09,145.1853790283203,145.7797597397171,144.61249644295967,145.7725980539616,2042290
2021-06-10,145.4646759033203,146.78232157021148,145.21402996341212,146.19511559638823,2335908
2021-06-11,145.2355194091797,146.7322072703449,144.31172723599167,145.91582732106554,2028775
2021-06-14,144.19715881347656,145.79409727314498,143.52401256215202,144.86314337834995,2088096
2021-06-15,143.66004943847656,144.55519476332657,142.88663969580014,144.51222465122922,2045040
2021-06-16,141.01043701171875,143.9321827785753,140.93882015054348,143.6314180991797,2654761
2021-06-17,139.742919921875,141.43294727729383,138.21042353462937,140.93166841996694,3091540
2021-06-18,137.20787048339844,138.61861824599418,137.1577386753305,138.23907497959456,6045302
2021-06-21,139.7930450439453,140.80992608322316,138.63293027904754,138.63293027904754,3023966
2021-06-22,139.742919921875,140.39458112952286,138.9981567881225,139.4636272123322,2120030
2021-06-23,137.75209045410156,139.94340934837828,137.69479697123873,139.4994109937291,3559894
